Garden,WholePlotID,SplitPlotID,PlantID,Cyanotype,Cyanogenesis,Ac_ac,Li_li,Precipitation,Herbivores,Survived21,Flowered21,Seeded21,FlowerHeadNumber21,SeedSetMass21,MaxArea21,GrowthRate21,Herbivory21,SurvivedWinter,Survived22,Flowered22,Seeded22,FlowerHeadNumber22,SeedSetMass22,MaxArea22,GrowthRate22,Herbivory22
Ontario,44,1,3,acLi,Acyanogenic,ac,Li,Reduced,Control,1,1,1,1,0.0128,126.28,0.00450936,42.33333333,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,44,1,4,acli,Acyanogenic,ac,li,Reduced,Control,1,0,0,0,0,259.63,0.020136251,NA,1,1,1,1,62,1.0669,432.11,0.044166978,20.46666667
Ontario,44,2,1,AcLi,Cyanogenic,Ac,Li,Control,Control,1,1,1,1,0.0278,290.47,0.01928487,6.066666667,1,0,0,0,0,0,24.81,0.048078178,28.86666667
Ontario,44,2,2,Acli,Acyanogenic,Ac,li,Control,Control,1,1,1,1,0.0139,647.96,0.031024163,2.933333333,1,1,1,1,235,4.8906,862.94,0.033260282,21.6
Ontario,44,2,3,acLi,Acyanogenic,ac,Li,Control,Control,1,0,0,0,0,392.73,0.023910846,23.26666667,1,0,0,0,0,0,79.79,0.061091586,22.33333333
Ontario,44,2,4,acli,Acyanogenic,ac,li,Control,Control,1,1,1,5,0.0114,876.64,0.026255505,6.6,1,0,0,0,0,0,13.59,NA,NA
Ontario,45,1,1,AcLi,Cyanogenic,Ac,Li,Control,Control,1,1,1,8,0.1294,1262.12,0.034961643,9.933333333,1,1,1,1,13,0.1045,429.55,0.037111255,12.93333333
Ontario,45,1,2,Acli,Acyanogenic,Ac,li,Control,Control,1,1,1,8,0.3603,190.25,0.01314079,10.66666667,1,0,1,1,10,0.0851,73.45,0.057924806,2.533333333
Ontario,45,1,3,acLi,Acyanogenic,ac,Li,Control,Control,1,1,1,5,0.1173,1471.38,0.047835155,0.666666667,1,0,1,1,2,0.0064,127.86,0.046174059,NA
Ontario,45,1,4,acli,Acyanogenic,ac,li,Control,Control,1,1,1,13,0.0152,772.45,0.033338245,38.33333333,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,45,2,1,AcLi,Cyanogenic,Ac,Li,Reduced,Control,1,1,1,10,0.093,1019.86,0.036071468,2.933333333,1,1,1,1,8,0.0255,131.42,0.02704923,3.333333333
Ontario,45,2,2,Acli,Acyanogenic,Ac,li,Reduced,Control,1,1,1,6,0.2614,1662.66,0.040238527,1,1,1,1,1,77,0.926,604.46,0.019820266,13.33333333
Ontario,45,2,3,acLi,Acyanogenic,ac,Li,Reduced,Control,1,1,1,41,2.0764,2412.85,0.046049181,19,1,0,1,1,96,1.1151,1577.97,0.04184229,4.2
Ontario,45,2,4,acli,Acyanogenic,ac,li,Reduced,Control,1,1,1,24,0.5838,986.03,0.032719518,33.53333333,1,0,1,1,70,0.3887,374.97,0.018989931,26.73333333
Ontario,46,1,1,AcLi,Cyanogenic,Ac,Li,Control,Control,1,1,1,20,0.4562,517.73,0.025575664,18.4,1,1,1,1,140,4.3201,77.08,NA,3.4
Ontario,46,1,2,Acli,Acyanogenic,Ac,li,Control,Control,1,1,1,90,3.2928,2119.25,0.030100294,2.666666667,1,1,0,0,0,0,44.31,0.005063674,13.06666667
Ontario,46,1,3,acLi,Acyanogenic,ac,Li,Control,Control,1,1,1,79,1.5805,1963.42,0.036318171,17.86666667,1,1,1,1,24,0.6348,137.16,0.023374029,16.66666667
Ontario,46,1,4,acli,Acyanogenic,ac,li,Control,Control,1,1,1,1,0.0076,45.12,0.048924708,3.866666667,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,46,2,1,AcLi,Cyanogenic,Ac,Li,Reduced,Control,1,1,1,162,7.2033,1348.84,0.039590608,15.93333333,1,1,0,0,0,0,61.4,0.012210503,10.86666667
Ontario,46,2,2,Acli,Acyanogenic,Ac,li,Reduced,Control,1,1,1,42,1.4505,491.9,0.032690573,5.733333333,1,0,1,0,1,0,57.46,0.016007511,7.066666667
Ontario,46,2,3,acLi,Acyanogenic,ac,Li,Reduced,Control,1,1,1,41,1.0652,2179.45,0.042702263,26.8,1,0,0,0,0,0,0.23,NA,NA
Ontario,46,2,4,acli,Acyanogenic,ac,li,Reduced,Control,1,1,1,38,1.9297,548.17,0.050200198,17.86666667,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,47,1,1,AcLi,Cyanogenic,Ac,Li,Control,Reduced,1,1,1,2,0.0593,107.97,0.024711505,2,1,1,0,0,0,0,68.84,NA,43.06666667
Ontario,47,1,2,Acli,Acyanogenic,Ac,li,Control,Reduced,1,1,1,5,0.1678,255.33,0.029246056,0.333333333,1,1,0,0,0,0,307.46,0.02295426,59.8
Ontario,47,1,3,acLi,Acyanogenic,ac,Li,Control,Reduced,1,1,1,8,0.1189,687.19,0.028271171,13.26666667,1,1,0,0,0,0,31.21,NA,NA
Ontario,47,1,4,acli,Acyanogenic,ac,li,Control,Reduced,1,1,1,23,0.3002,108.69,NA,13.8,1,0,0,0,0,0,13.41,NA,NA
Ontario,47,2,1,AcLi,Cyanogenic,Ac,Li,Reduced,Reduced,1,1,1,13,0.0933,431.18,0.035438732,0.733333333,1,1,0,0,0,0,145.54,NA,29.73333333
Ontario,47,2,2,Acli,Acyanogenic,Ac,li,Reduced,Reduced,1,1,1,59,1.0032,1190.92,0.056921538,25.46666667,1,1,1,1,130,2.25,158.79,0.002603427,NA
Ontario,47,2,3,acLi,Acyanogenic,ac,Li,Reduced,Reduced,1,1,1,22,0.2814,728.16,0.040521058,7.2,1,1,0,0,0,0,89.66,NA,32.66666667
Ontario,47,2,4,acli,Acyanogenic,ac,li,Reduced,Reduced,1,1,1,16,0.4577,441.58,0.039022406,16,1,0,0,0,0,0,22.23,NA,16.73333333
Ontario,48,1,1,AcLi,Cyanogenic,Ac,Li,Reduced,Control,1,1,1,8,0.0951,167.51,0.031575483,12.46666667,1,1,1,1,6,0.0749,99.95,0.008986801,15.86666667
Ontario,48,1,2,Acli,Acyanogenic,Ac,li,Reduced,Control,1,1,1,11,0.1507,1099.24,0.038891985,2.666666667,1,1,1,1,4,0.2044,171.2,0.003421279,20.33333333
Ontario,48,1,3,acLi,Acyanogenic,ac,Li,Reduced,Control,1,1,1,7,0.1782,748.49,0.048076369,34,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,48,1,4,acli,Acyanogenic,ac,li,Reduced,Control,1,1,1,4,0.1524,720.98,0.040068852,44.06666667,1,0,1,1,3,0.0063,181.58,NA,32.26666667
Ontario,48,2,1,AcLi,Cyanogenic,Ac,Li,Control,Control,1,1,1,57,1.0898,1442.03,0.041907608,13.6,1,0,1,1,1,0.0051,110.45,NA,13.13333333
Ontario,48,2,2,Acli,Acyanogenic,Ac,li,Control,Control,1,0,0,0,0,59.64,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,48,2,3,acLi,Acyanogenic,ac,Li,Control,Control,1,1,1,1,0.0188,346.75,0.030647966,32.53333333,1,0,0,0,0,0,77.48,NA,NA
Ontario,48,2,4,acli,Acyanogenic,ac,li,Control,Control,1,1,1,33,0.8695,1240.33,0.035738485,15.86666667,1,1,0,0,0,0,25.45,0.00956758,1.333333333
Louisiana,1,1,1,AcLi,Cyanogenic,Ac,Li,Control,Reduced,1,1,1,17,0.0816,336.87,0.049264341,NA,NA,0,1,1,338,3.4196,2566.16,NA,NA
Louisiana,1,1,2,Acli,Acyanogenic,Ac,li,Control,Reduced,1,1,1,25,0.0358,100.3,0.013659821,NA,NA,0,1,1,414,1.6604,1797.8,NA,NA
Louisiana,1,1,3,acLi,Acyanogenic,ac,Li,Control,Reduced,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,1,1,4,acli,Acyanogenic,ac,li,Control,Reduced,1,1,1,8,0.0193,213.12,0.016114273,NA,NA,1,1,1,77,0.999,1335.1,NA,7.8
Louisiana,1,2,1,acli,Acyanogenic,ac,li,Reduced,Control,1,0,0,0,0,122.55,0.02793202,NA,NA,0,1,1,77,1.3802,697.01,NA,NA
Louisiana,1,2,2,AcLi,Cyanogenic,Ac,Li,Reduced,Control,1,0,0,0,0,168.96,0.031778058,NA,NA,0,1,1,198,1.1013,1378.4,NA,NA
Louisiana,1,2,3,acLi,Acyanogenic,ac,Li,Reduced,Control,1,1,0,1,0,273.6,0.019047794,NA,NA,0,1,1,132,0.8484,2848.07,NA,NA
Louisiana,1,2,4,Acli,Acyanogenic,Ac,li,Reduced,Control,1,1,0,1,0,175.63,0.033683686,NA,NA,0,1,1,47,1.6447,1825.33,NA,NA
Louisiana,2,1,1,acli,Acyanogenic,ac,li,Control,Control,1,1,0,1,0,198.38,0.017541495,NA,NA,1,1,1,103,0.148,1959.43,NA,0.4
Louisiana,2,1,2,AcLi,Cyanogenic,Ac,Li,Control,Control,0,1,1,14,0.0023,38.13,0.011589215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
